Servicio,Mes_Año,Viajes_Est,Precio_Medio,Hora_Pico,Num_Vars
yellow,2020-01,6405010,12.7,18:00,19
yellow,2020-04,238070,11.62,16:00,19
yellow,2023-01,3066770,18.37,18:00,19
yellow,2024-01,2964620,18.1,18:00,19
yellow,2024-12,3668370,19.66,18:00,19
green,2020-01,447770,15.93,17:00,20
green,2020-04,35640,16.48,9:00,20
green,2023-01,68210,16.41,16:00,20
green,2024-01,56550,16.88,18:00,20
green,2024-12,53990,17.96,17:00,20
fhvhv,2020-01,20569370,17.02,18:00,24
fhvhv,2020-04,4312910,16.37,17:00,24
fhvhv,2023-01,18479030,21.57,18:00,24
fhvhv,2024-01,19663930,23.98,18:00,24
fhvhv,2024-12,21068850,27.95,19:00,24
